OA Code,Ward Name,LA Name,Region Name,QS605EW0017,QS605EW0001 (base),OA Percentage
E00008528,Woolwich Riverside,Greenwich,London,11,133,8.2700,
E00008303,Peninsula,Greenwich,London,6,137,4.3800,
E00008382,Shooters Hill,Greenwich,London,15,174,8.6200,
E00176514,Woolwich Riverside,Greenwich,London,5,177,2.8200,
E00008518,Woolwich Riverside,Greenwich,London,15,151,9.9300,
E00008197,Kidbrooke with Hornfair,Greenwich,London,9,135,6.6700,
E00008167,Greenwich West,Greenwich,London,6,172,3.4900,
E00007859,Blackheath Westcombe,Greenwich,London,4,130,3.0800,
E00008138,Glyndon,Greenwich,London,10,90,11.1100,
E00008223,Kidbrooke with Hornfair,Greenwich,London,7,198,3.5400,
E00008229,Kidbrooke with Hornfair,Greenwich,London,6,105,5.7100,
E00000249,Gascoigne,Barking and Dagenham,London,7,108,6.4800,
E00000239,Gascoigne,Barking and Dagenham,London,9,126,7.1400,
E00175110,Gascoigne,Barking and Dagenham,London,19,136,13.9700,
E00000256,Gascoigne,Barking and Dagenham,London,9,115,7.8300,
E00021374,East India and Lansbury,Tower Hamlets,London,24,120,20.0000,
E00021671,Shadwell,Tower Hamlets,London,14,105,13.3300,
E00021267,Bow East,Tower Hamlets,London,22,139,15.8300,
E00167176,Weavers,Tower Hamlets,London,17,230,7.3900,
E00021399,Limehouse,Tower Hamlets,London,11,192,5.7300,
E00021188,Bethnal Green South,Tower Hamlets,London,9,114,7.8900,
E00167235,St Dunstan's and Stepney Green,Tower Hamlets,London,25,146,17.1200,
E00167206,Mile End and Globe Town,Tower Hamlets,London,25,146,17.1200,
E00167078,Spitalfields and Banglatown,Tower Hamlets,London,38,226,16.8100,
E00021332,Bromley-by-Bow,Tower Hamlets,London,18,142,12.6800,
E00021577,St Dunstan's and Stepney Green,Tower Hamlets,London,9,108,8.3300,
E00167180,Blackwall and Cubitt Town,Tower Hamlets,London,17,130,13.0800,
E00021290,Bow East,Tower Hamlets,London,19,115,16.5200,
E00021211,Bethnal Green South,Tower Hamlets,London,25,194,12.8900,
E00021185,Bethnal Green South,Tower Hamlets,London,13,166,7.8300,
E00021447,Mile End and Globe Town,Tower Hamlets,London,15,185,8.1100,
E00021192,Bethnal Green South,Tower Hamlets,London,21,116,18.1000,
E00021379,East India and Lansbury,Tower Hamlets,London,15,116,12.9300,
E00021256,Blackwall and Cubitt Town,Tower Hamlets,London,12,155,7.7400,
E00167109,Blackwall and Cubitt Town,Tower Hamlets,London,9,152,5.9200,
E00021461,Mile End and Globe Town,Tower Hamlets,London,14,127,11.0200,
E00021622,St Katharine's and Wapping,Tower Hamlets,London,3,202,1.4900,
E00021463,Mile End and Globe Town,Tower Hamlets,London,26,159,16.3500,
E00167256,St Dunstan's and Stepney Green,Tower Hamlets,London,9,179,5.0300,
E00167142,Blackwall and Cubitt Town,Tower Hamlets,London,18,342,5.2600,
E00021274,Bow East,Tower Hamlets,London,23,158,14.5600,
E00021168,Bethnal Green North,Tower Hamlets,London,24,319,7.5200,
E00021171,Bethnal Green North,Tower Hamlets,London,45,252,17.8600,
E00021750,Whitechapel,Tower Hamlets,London,31,139,22.3000,
E00167247,Bow East,Tower Hamlets,London,3,113,2.6500,
E00021172,Bethnal Green North,Tower Hamlets,London,3,138,2.1700,
E00021716,Weavers,Tower Hamlets,London,12,108,11.1100,
E00021731,Weavers,Tower Hamlets,London,14,158,8.8600,
E00021764,Whitechapel,Tower Hamlets,London,24,243,9.8800,
E00021715,Weavers,Tower Hamlets,London,14,149,9.4000,
E00021631,St Katharine's and Wapping,Tower Hamlets,London,10,230,4.3500,
E00021753,Whitechapel,Tower Hamlets,London,10,96,10.4200,
E00021295,Bow West,Tower Hamlets,London,14,212,6.6000,
E00021214,Bethnal Green South,Tower Hamlets,London,25,182,13.7400,
E00021177,Bethnal Green North,Tower Hamlets,London,25,140,17.8600,
E00021663,Shadwell,Tower Hamlets,London,14,100,14.0000,
E00021615,St Katharine's and Wapping,Tower Hamlets,London,1,174,0.5700,
E00021694,Spitalfields and Banglatown,Tower Hamlets,London,32,198,16.1600,
E00008490,Woolwich Common,Greenwich,London,6,114,5.2600,
E00007891,Charlton,Greenwich,London,13,115,11.3000,
E00007886,Blackheath Westcombe,Greenwich,London,8,164,4.8800,
E00008312,Peninsula,Greenwich,London,8,108,7.4100,
E00008179,Greenwich West,Greenwich,London,3,150,2.0000,
E00007909,Charlton,Greenwich,London,10,147,6.8000,
E00176547,Greenwich West,Greenwich,London,3,125,2.4000,
E00176513,Woolwich Riverside,Greenwich,London,16,198,8.0800,
E00008173,Greenwich West,Greenwich,London,1,138,0.7200,
E00008279,Peninsula,Greenwich,London,15,260,5.7700,
E00176515,Greenwich West,Greenwich,London,8,106,7.5500,
E00176584,Glyndon,Greenwich,London,13,167,7.7800,
E00008530,Woolwich Riverside,Greenwich,London,6,74,8.1100,
E00007873,Blackheath Westcombe,Greenwich,London,3,159,1.8900,
E00008393,Shooters Hill,Greenwich,London,4,174,2.3000,
E00004536,Holborn and Covent Garden,Camden,London,3,169,1.7800,
E00167251,Mile End and Globe Town,Tower Hamlets,London,48,193,24.8700,
E00015688,Prince's,Lambeth,London,10,172,5.8100,
