OA Code,Ward Name,LA Name,Region Name,QS606EW0086,QS606EW0001 (base),OA Percentage
E00008495,Woolwich Riverside,Greenwich,London,12,126,9.5200,
E00008278,Peninsula,Greenwich,London,7,161,4.3500,
E00008532,Woolwich Riverside,Greenwich,London,21,126,16.6700,
E00008298,Peninsula,Greenwich,London,8,176,4.5500,
E00008123,Glyndon,Greenwich,London,16,162,9.8800,
E00008468,Woolwich Common,Greenwich,London,13,72,18.0600,
E00176501,Woolwich Riverside,Greenwich,London,7,88,7.9500,
E00176567,Thamesmead Moorings,Greenwich,London,13,131,9.9200,
E00007899,Charlton,Greenwich,London,4,123,3.2500,
E00008159,Greenwich West,Greenwich,London,5,133,3.7600,
E00008172,Greenwich West,Greenwich,London,9,213,4.2300,
E00008141,Glyndon,Greenwich,London,28,174,16.0900,
E00007845,Blackheath Westcombe,Greenwich,London,2,149,1.3400,
E00008371,Shooters Hill,Greenwich,London,12,132,9.0900,
E00008463,Woolwich Common,Greenwich,London,21,111,18.9200,
E00007850,Blackheath Westcombe,Greenwich,London,5,121,4.1300,
E00176499,Greenwich West,Greenwich,London,8,182,4.4000,
E00008448,Woolwich Common,Greenwich,London,13,188,6.9100,
E00008465,Woolwich Common,Greenwich,London,25,179,13.9700,
E00008455,Woolwich Common,Greenwich,London,14,125,11.2000,
E00008125,Glyndon,Greenwich,London,22,116,18.9700,
E00008222,Kidbrooke with Hornfair,Greenwich,London,4,72,5.5600,
E00008521,Woolwich Riverside,Greenwich,London,16,146,10.9600,
E00007906,Charlton,Greenwich,London,17,149,11.4100,
E00007843,Blackheath Westcombe,Greenwich,London,5,189,2.6500,
E00176516,Peninsula,Greenwich,London,5,258,1.9400,
E00008526,Woolwich Riverside,Greenwich,London,14,117,11.9700,
E00008303,Peninsula,Greenwich,London,4,137,2.9200,
E00008528,Woolwich Riverside,Greenwich,London,11,133,8.2700,
E00176514,Woolwich Riverside,Greenwich,London,5,177,2.8200,
E00008382,Shooters Hill,Greenwich,London,11,174,6.3200,
E00008518,Woolwich Riverside,Greenwich,London,23,151,15.2300,
E00008167,Greenwich West,Greenwich,London,5,172,2.9100,
E00008197,Kidbrooke with Hornfair,Greenwich,London,20,135,14.8100,
E00007859,Blackheath Westcombe,Greenwich,London,6,130,4.6200,
E00008116,Glyndon,Greenwich,London,12,110,10.9100,
E00008223,Kidbrooke with Hornfair,Greenwich,London,15,198,7.5800,
E00008138,Glyndon,Greenwich,London,12,90,13.3300,
E00000239,Gascoigne,Barking and Dagenham,London,17,126,13.4900,
E00008229,Kidbrooke with Hornfair,Greenwich,London,12,105,11.4300,
E00000256,Gascoigne,Barking and Dagenham,London,14,115,12.1700,
E00021374,East India and Lansbury,Tower Hamlets,London,14,120,11.6700,
E00175110,Gascoigne,Barking and Dagenham,London,14,136,10.2900,
E00167176,Weavers,Tower Hamlets,London,4,230,1.7400,
E00021671,Shadwell,Tower Hamlets,London,9,105,8.5700,
E00021188,Bethnal Green South,Tower Hamlets,London,9,114,7.8900,
E00021399,Limehouse,Tower Hamlets,London,7,192,3.6500,
E00167078,Spitalfields and Banglatown,Tower Hamlets,London,13,226,5.7500,
E00167235,St Dunstan's and Stepney Green,Tower Hamlets,London,9,146,6.1600,
E00167206,Mile End and Globe Town,Tower Hamlets,London,15,146,10.2700,
E00167180,Blackwall and Cubitt Town,Tower Hamlets,London,11,130,8.4600,
E00021332,Bromley-by-Bow,Tower Hamlets,London,12,142,8.4500,
E00021290,Bow East,Tower Hamlets,London,15,115,13.0400,
E00021577,St Dunstan's and Stepney Green,Tower Hamlets,London,16,108,14.8100,
E00021185,Bethnal Green South,Tower Hamlets,London,18,166,10.8400,
E00021211,Bethnal Green South,Tower Hamlets,London,21,194,10.8200,
E00021379,East India and Lansbury,Tower Hamlets,London,11,116,9.4800,
E00021447,Mile End and Globe Town,Tower Hamlets,London,7,185,3.7800,
E00021256,Blackwall and Cubitt Town,Tower Hamlets,London,2,155,1.2900,
E00021192,Bethnal Green South,Tower Hamlets,London,5,116,4.3100,
E00021622,St Katharine's and Wapping,Tower Hamlets,London,4,202,1.9800,
E00021463,Mile End and Globe Town,Tower Hamlets,London,9,159,5.6600,
E00167109,Blackwall and Cubitt Town,Tower Hamlets,London,8,152,5.2600,
E00167256,St Dunstan's and Stepney Green,Tower Hamlets,London,10,179,5.5900,
E00021461,Mile End and Globe Town,Tower Hamlets,London,5,127,3.9400,
E00021168,Bethnal Green North,Tower Hamlets,London,11,319,3.4500,
E00167142,Blackwall and Cubitt Town,Tower Hamlets,London,7,342,2.0500,
E00021750,Whitechapel,Tower Hamlets,London,9,139,6.4700,
E00021171,Bethnal Green North,Tower Hamlets,London,17,252,6.7500,
E00021716,Weavers,Tower Hamlets,London,6,108,5.5600,
E00021172,Bethnal Green North,Tower Hamlets,London,7,138,5.0700,
E00021764,Whitechapel,Tower Hamlets,London,19,243,7.8200,
E00021731,Weavers,Tower Hamlets,London,12,158,7.5900,
E00021753,Whitechapel,Tower Hamlets,London,5,96,5.2100,
E00021295,Bow West,Tower Hamlets,London,8,212,3.7700,
E00021715,Weavers,Tower Hamlets,London,12,149,8.0500,
E00021631,St Katharine's and Wapping,Tower Hamlets,London,7,230,3.0400,
E00021177,Bethnal Green North,Tower Hamlets,London,8,140,5.7100,
E00021214,Bethnal Green South,Tower Hamlets,London,16,182,8.7900,
