OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00008874,Hoxton,Hackney,London,20,284,7.0400,
E00176278,Haggerston,Hackney,London,3,240,1.2500,
E00008871,Hoxton,Hackney,London,15,204,7.3500,
E00008869,Hoxton,Hackney,London,21,141,14.8900,
E00008861,Haggerston,Hackney,London,19,235,8.0900,
E00008899,Hoxton,Hackney,London,8,94,8.5100,
E00176261,Haggerston,Hackney,London,8,183,4.3700,
E00008901,Hoxton,Hackney,London,11,106,10.3800,
E00008888,Hoxton,Hackney,London,16,197,8.1200,
E00008868,Hoxton,Hackney,London,10,155,6.4500,
E00176244,Hoxton,Hackney,London,5,153,3.2700,
E00008745,De Beauvoir,Hackney,London,19,277,6.8600,
E00008851,Haggerston,Hackney,London,15,110,13.6400,
E00008879,Hoxton,Hackney,London,3,289,1.0400,
E00008858,Haggerston,Hackney,London,13,124,10.4800,
E00008877,Hoxton,Hackney,London,12,141,8.5100,
E00008852,Haggerston,Hackney,London,14,242,5.7900,
E00176276,Haggerston,Hackney,London,8,196,4.0800,
E00176281,Hoxton,Hackney,London,9,119,7.5600,
E00008748,De Beauvoir,Hackney,London,13,120,10.8300,
E00176282,Hoxton,Hackney,London,8,203,3.9400,
E00176263,Hoxton,Hackney,London,4,104,3.8500,
E00008887,Hoxton,Hackney,London,15,116,12.9300,
E00007852,Blackheath Westcombe,Greenwich,London,1,121,0.8300,
E00008476,Woolwich Common,Greenwich,London,15,154,9.7400,
E00176562,Woolwich Riverside,Greenwich,London,17,130,13.0800,
E00176554,Peninsula,Greenwich,London,9,160,5.6300,
E00176497,Greenwich West,Greenwich,London,2,109,1.8300,
E00176535,Greenwich West,Greenwich,London,23,173,13.2900,
E00008181,Greenwich West,Greenwich,London,4,159,2.5200,
E00007870,Blackheath Westcombe,Greenwich,London,5,129,3.8800,
E00176498,Greenwich West,Greenwich,London,20,140,14.2900,
E00008464,Woolwich Common,Greenwich,London,14,182,7.6900,
E00008188,Greenwich West,Greenwich,London,17,136,12.5000,
E00008308,Peninsula,Greenwich,London,18,231,7.7900,
E00008389,Shooters Hill,Greenwich,London,9,115,7.8300,
E00007895,Charlton,Greenwich,London,17,154,11.0400,
E00008185,Greenwich West,Greenwich,London,19,194,9.7900,
E00007878,Blackheath Westcombe,Greenwich,London,9,222,4.0500,
E00007848,Blackheath Westcombe,Greenwich,London,7,155,4.5200,
E00008450,Woolwich Common,Greenwich,London,14,152,9.2100,
E00008187,Greenwich West,Greenwich,London,12,116,10.3400,
E00008510,Woolwich Riverside,Greenwich,London,9,119,7.5600,
E00008522,Woolwich Riverside,Greenwich,London,15,177,8.4700,
E00008903,Hoxton,Hackney,London,21,150,14.0000,
E00008860,Haggerston,Hackney,London,22,221,9.9500,
